time,demand
1.2425017E+01,6.6663955E+01
1.2474801E+01,6.6405102E+01
1.2524387E+01,6.6748529E+01
1.2574675E+01,6.6487946E+01
1.2623578E+01,6.6235038E+01
1.2673368E+01,6.5978091E+01
1.2723180E+01,6.5721628E+01
1.2772968E+01,6.5465926E+01
1.2822756E+01,6.5210906E+01
1.2872541E+01,6.4956629E+01
1.2922325E+01,6.4703124E+01
1.2972109E+01,6.4450434E+01
1.3020774E+01,6.8798681E+01
1.3070310E+01,6.8548971E+01
1.3119434E+01,6.8302254E+01
1.3169489E+01,6.8051845E+01
1.3219998E+01,6.7800214E+01
1.3269077E+01,6.7556758E+01
1.3319569E+01,6.7307416E+01
1.3369375E+01,6.7062618E+01
1.3419139E+01,6.6819218E+01
1.3468924E+01,6.6576954E+01
1.3517914E+01,5.9064808E+01
1.3568266E+01,5.8822386E+01
1.3617941E+01,5.8584582E+01
1.3667218E+01,5.8350053E+01
1.3716352E+01,5.8117611E+01
1.3766748E+01,5.7880688E+01
1.3816518E+01,5.7648234E+01
1.3866306E+01,5.7417250E+01
1.3916088E+01,5.7187888E+01
1.3965872E+01,5.6960151E+01
1.4013649E+01,6.4548866E+01
1.4062970E+01,6.4326518E+01
1.4112187E+01,6.4106352E+01
1.4162597E+01,6.3882653E+01
1.4211751E+01,6.3666328E+01
1.4261528E+01,6.3449108E+01
1.4311319E+01,6.3233724E+01
1.4361103E+01,6.3020302E+01
1.4410887E+01,6.2808845E+01
1.4460671E+01,6.2599397E+01
1.4510896E+01,5.5910946E+01
1.4560436E+01,5.5706629E+01
1.4610427E+01,5.5502570E+01
1.4660239E+01,5.5301395E+01
1.4709311E+01,5.5105342E+01
1.4758991E+01,5.4909047E+01
1.4809625E+01,5.4711287E+01
1.4859426E+01,5.4519079E+01
1.4909199E+01,5.4329286E+01
1.4958984E+01,5.4141797E+01
1.5007990E+01,5.6243763E+01
1.5057498E+01,5.6062026E+01
1.5107933E+01,5.5879367E+01
1.5157858E+01,5.5701052E+01
1.5207560E+01,5.5526026E+01
1.5256609E+01,5.5355774E+01
1.5306115E+01,5.5186454E+01
1.5356023E+01,5.5018344E+01
1.5406151E+01,5.4852140E+01
1.5456384E+01,5.4688278E+01
1.5504111E+01,5.1408552E+01
1.5554153E+01,5.1250616E+01
1.5603782E+01,5.1096704E+01
1.5652982E+01,5.0946817E+01
1.5702750E+01,5.0797955E+01
1.5753184E+01,5.0649960E+01
1.5802714E+01,5.0507440E+01
1.5852536E+01,5.0366927E+01
1.5901475E+01,5.0231705E+01
1.5951594E+01,5.0096124E+01
1.6000000E+01,5.2559485E+01
1.6051613E+01,5.2425924E+01
1.6101117E+01,5.2300813E+01
1.6150947E+01,5.2177858E+01
1.6199906E+01,5.2059988E+01
1.6249988E+01,5.1942441E+01
1.6299455E+01,5.1829365E+01
1.6349226E+01,5.1718649E+01
1.6399015E+01,5.1610977E+01
1.6448798E+01,5.1506423E+01
1.6498582E+01,5.1404986E+01
1.6547552E+01,5.0390112E+01
1.6597142E+01,5.0295282E+01
1.6647451E+01,5.0202290E+01
1.6697243E+01,5.0113459E+01
1.6746113E+01,5.0029385E+01
1.6796208E+01,4.9946421E+01
1.6845708E+01,4.9867653E+01
1.6896156E+01,4.9790677E+01
1.6946091E+01,4.9717776E+01
1.6995796E+01,4.9648476E+01
1.7043359E+01,4.8556296E+01
1.7092547E+01,4.8494043E+01
1.7142438E+01,4.8434192E+01
1.7192883E+01,4.8377059E+01
1.7242241E+01,4.8324458E+01
1.7292114E+01,4.8274633E+01
1.7341172E+01,4.8228892E+01
1.7391067E+01,4.8185703E+01
1.7441678E+01,4.8145337E+01
1.7491156E+01,4.8109231E+01
1.7540486E+01,4.8887320E+01
1.7590349E+01,4.8857646E+01
1.7639762E+01,4.8831583E+01
1.7689035E+01,4.8808910E+01
1.7739185E+01,4.8789240E+01
1.7789482E+01,4.8772967E+01
1.7838498E+01,4.8760439E+01
1.7888444E+01,4.8751057E+01
1.7937611E+01,4.8745161E+01
1.7988055E+01,4.8742554E+01
1.8037416E+01,4.6488119E+01
1.8087215E+01,4.6492336E+01
1.8137004E+01,4.6499950E+01
1.8186790E+01,4.6510959E+01
1.8236575E+01,4.6525360E+01
1.8286359E+01,4.6543152E+01
1.8336142E+01,4.6564331E+01
1.8385926E+01,4.6588895E+01
1.8435709E+01,4.6616838E+01
1.8485492E+01,4.6648156E+01
1.8532781E+01,5.3389658E+01
1.8583185E+01,5.3428034E+01
1.8632461E+01,5.3468880E+01
1.8682793E+01,5.3513989E+01
1.8732589E+01,5.3561981E+01
1.8782368E+01,5.3613291E+01
1.8832153E+01,5.3667933E+01
1.8881935E+01,5.3725891E+01
1.8931719E+01,5.3787155E+01
1.8981502E+01,5.3851717E+01
1.9030139E+01,4.8965281E+01
1.9079652E+01,4.9035932E+01
1.9129568E+01,4.9110426E+01
1.9179412E+01,4.9188071E+01
1.9228565E+01,4.9267817E+01
1.9278099E+01,4.9351360E+01
1.9328653E+01,4.9439899E+01
1.9378532E+01,4.9530483E+01
1.9428199E+01,4.9623854E+01
1.9477305E+01,4.9719264E+01
1.9527356E+01,5.1983324E+01
1.9577586E+01,5.2087258E+01
1.9626529E+01,5.2191578E+01
1.9676557E+01,5.2301300E+01
1.9725731E+01,5.2412177E+01
1.9775993E+01,5.2528588E+01
1.9825634E+01,5.2646598E+01
1.9875973E+01,5.2769331E+01
1.9925312E+01,5.2892599E+01
1.9974380E+01,5.3018087E+01
2.0024360E+01,4.9912399E+01
2.0074652E+01,5.0046966E+01
2.0123556E+01,5.0180667E+01
2.0173345E+01,5.0319651E+01
2.0223157E+01,5.0461560E+01
2.0272945E+01,5.0606242E+01
2.0316759E+01,5.0735892E+01
2.0367164E+01,5.0887718E+01
2.0417072E+01,5.1040842E+01
2.0465887E+01,5.1193275E+01
2.0513357E+01,5.9279964E+01
2.0563709E+01,5.9442522E+01
2.0613500E+01,5.9605946E+01
2.0663281E+01,5.9771971E+01
2.0713065E+01,5.9940609E+01
2.0762849E+01,6.0111821E+01
2.0812632E+01,6.0285580E+01
2.0862415E+01,6.0461856E+01
2.0912199E+01,6.0640619E+01
2.0961982E+01,6.0821840E+01
2.1010640E+01,5.2831027E+01
2.1059573E+01,5.3013820E+01
2.1109439E+01,5.3202447E+01
2.1159078E+01,5.3392537E+01
2.1208979E+01,5.3585940E+01
